RESUMO DAS TABELAS
tbl_ReciboItens: 13 colunas
tbl_ReciboMedicao: 44 colunas
tbl_ReciboMedicaoFaturas: 4 colunas
tbl_ReciboStatusCobranca: 11 colunas
tbl_RemessaBoleto: 6 colunas
tbl_RemessaVirtual: 9 colunas
tbl_RetiradaMotivos: 8 colunas
tbl_RetornoWebHook: 22 colunas
tbl_RetornoWebHook_Signers: 24 colunas
tbl_Saidas: 19 colunas
tbl_SEGAccessCount: 4 colunas
tbl_SEGFormulario: 9 colunas
tbl_SEGGrupo: 2 colunas
tbl_SEGGrupoObjeto: 6 colunas
tbl_SEGGrupoUsuario: 3 colunas
tbl_SEGModulo: 6 colunas
tbl_SEGObjetos: 8 colunas
tbl_SEGUsuarioObjeto: 6 colunas
tbl_Setor: 6 colunas
tbl_SolicitaEntrega: 8 colunas
tbl_SolicitaEntregaItens: 11 colunas
tbl_SolicitaRetirada: 12 colunas
tbl_SolicitaRetiradaItens: 12 colunas
tbl_Target: 8 colunas
tbl_TipoContato: 2 colunas
tbl_TipoContrato: 6 colunas
tbl_TipoCorRGB: 5 colunas
tbl_TipoCorTemas: 4 colunas
tbl_TipoLocacao: 12 colunas
tbl_TipoSolicitaRetirada: 6 colunas
tbl_TipoTarifa: 8 colunas
tbl_Transacao: 11 colunas
tbl_Unidade: 4 colunas
